Strategy,Total Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Number of Trades,Final Value ($)
Trend Following,41.75512131148661,0.8470765399564273,-20.96027792327321,66.66666666666666,3,141755.1213114866
Mean Reversion,21.16209289476143,0.5578075812168465,-26.708106720821593,66.66666666666666,3,121162.09289476143
Combined,3.1372390569450217,0.6876515519015876,-0.1,100.0,1,103137.23905694502
Momentum,-5.95246180731956,-0.5032498440664811,-8.813209416286485,33.33333333333333,3,94047.53819268044
Breakout,-11.114927471978634,-0.6072479206991045,-16.44517663784958,33.33333333333333,3,88885.07252802137
