Entry Date,Entry Price,Exit Date,Exit Price,Return (%),Holding Days,Outcome
2024-10-24,260.4800109863281,2024-11-04,242.83999633789062,-6.772118360116076,11,Loss
2024-11-07,296.9100036621094,2025-01-17,426.5,43.6462209893632,71,Win
2025-09-16,421.6199951171875,2025-10-23,448.9800109863281,6.489259566908354,37,Win
